,Company size,Total views,Date,Impressions (total),Unique impressions (organic),Clicks (total),Reactions (total),Comments (total),Shares (total),Engagement rate (total),Industry,Total followers,Job function,Sponsored followers,Organic followers,Seniority,Location,Update title,Update type,Created date,Audience,Impressions,Clicks,Click through rate (CTR),Likes,Comments,Shares,Engagement rate,Content Type,Overview page views (desktop),Overview page views (mobile),Overview page views (total),Overview unique visitors (desktop),Overview unique visitors (mobile),Overview unique visitors (total),Jobs page views (desktop),Jobs page views (mobile),Jobs page views (total),Jobs unique visitors (desktop),Jobs unique visitors (mobile),Jobs unique visitors (total),Total page views (desktop),Total page views (mobile),Total page views (total),Total unique visitors (desktop),Total unique visitors (mobile),Total unique visitors (total)
0,1,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2-10,2768.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,11-50,2402.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,51-200,2146.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,201-500,1417.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,501-1000,1468.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1001-5000,2016.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,5001-10000,894.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,10001+,6088.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,05/21/2021,3706.0,1118.0,295.0,60.0,0.0,1.0,0.0960604425256341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,05/22/2021,9172.0,2231.0,1133.0,137.0,34.0,4.0,0.1426079372001744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,05/23/2021,3706.0,1406.0,383.0,55.0,1.0,0.0,0.1184565569347004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,05/24/2021,3071.0,1211.0,257.0,29.0,2.0,6.0,0.0957342885053728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,05/25/2021,1317.0,575.0,91.0,33.0,0.0,0.0,0.0941533788914198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,05/26/2021,3928.0,1422.0,305.0,61.0,5.0,4.0,0.0954684317718941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,05/27/2021,1704.0,441.0,181.0,18.0,0.0,0.0,0.1167840375586854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,05/28/2021,2316.0,611.0,2680.0,41.0,3.0,1.0,1.1765975820379966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,05/29/2021,6909.0,3584.0,3975.0,98.0,28.0,7.0,0.5945867708785642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,05/30/2021,3916.0,2460.0,1144.0,34.0,1.0,1.0,0.3013278855975485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,05/31/2021,1654.0,844.0,517.0,28.0,2.0,7.0,0.3349455864570738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,06/01/2021,1112.0,560.0,295.0,23.0,1.0,0.0,0.2868705035971223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,,06/02/2021,1195.0,682.0,306.0,7.0,1.0,0.0,0.2627615062761506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,06/03/2021,749.0,353.0,131.0,16.0,0.0,3.0,0.2002670226969292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,,06/04/2021,786.0,396.0,62.0,17.0,0.0,1.0,0.1017811704834605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,06/05/2021,563.0,245.0,105.0,12.0,0.0,0.0,0.2078152753108348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,,06/06/2021,329.0,198.0,27.0,2.0,0.0,0.0,0.0881458966565349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,06/07/2021,256.0,157.0,42.0,0.0,0.0,0.0,0.1640625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,,06/08/2021,588.0,139.0,124.0,3.0,0.0,0.0,0.2159863945578231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,06/09/2021,231.0,112.0,98.0,1.0,0.0,0.0,0.4285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,,06/10/2021,707.0,353.0,49.0,18.0,0.0,7.0,0.1046676096181046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,,06/11/2021,302.0,168.0,16.0,3.0,0.0,0.0,0.0629139072847682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,,06/12/2021,252.0,136.0,74.0,1.0,0.0,0.0,0.2976190476190476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,,06/13/2021,250.0,138.0,59.0,2.0,0.0,0.0,0.244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,,06/14/2021,246.0,133.0,58.0,0.0,0.0,0.0,0.2357723577235772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,06/15/2021,312.0,99.0,30.0,0.0,0.0,0.0,0.0961538461538461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,,06/16/2021,251.0,96.0,62.0,0.0,0.0,0.0,0.247011952191235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,06/17/2021,116.0,69.0,6.0,1.0,0.0,0.0,0.0603448275862069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,,,06/18/2021,1248.0,742.0,77.0,20.0,1.0,4.0,0.0817307692307692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,,06/19/2021,556.0,310.0,28.0,1.0,0.0,0.0,0.0521582733812949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,,,06/20/2021,382.0,182.0,25.0,3.0,0.0,0.0,0.0732984293193717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,,06/21/2021,334.0,179.0,58.0,4.0,0.0,0.0,0.18562874251497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,,06/22/2021,305.0,153.0,10.0,0.0,0.0,0.0,0.0327868852459016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,,06/23/2021,476.0,272.0,20.0,8.0,0.0,2.0,0.0630252100840336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,,06/24/2021,332.0,180.0,18.0,4.0,0.0,1.0,0.0692771084337349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,,06/25/2021,173.0,121.0,12.0,1.0,0.0,0.0,0.0751445086705202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,,,06/26/2021,205.0,105.0,5.0,4.0,0.0,0.0,0.0439024390243902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,,06/27/2021,223.0,87.0,24.0,2.0,0.0,0.0,0.116591928251121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
