,Date,Impressions (total),Unique impressions (organic),Clicks (total),Reactions (total),Comments (total),Shares (total),Engagement rate (total)
302,12/28/2021,391,147,116,3,0,0,0.30434782608695654
303,12/29/2021,238,110,26,2,0,0,0.11764705882352941
304,12/30/2021,647,131,228,6,1,0,0.36321483771251933
305,12/31/2021,138,69,22,0,1,0,0.16666666666666666
306,01/01/2022,1351,718,124,33,3,4,0.12139156180606958
307,01/02/2022,1814,995,1321,33,4,1,0.7491730981256891
308,01/03/2022,2975,1416,2620,41,10,3,0.8988235294117647
309,01/04/2022,2521,1282,2365,26,4,1,0.950416501388338
310,01/05/2022,1821,934,531,30,0,5,0.31081823174080175
311,01/06/2022,651,345,332,7,0,0,0.5207373271889401
312,01/07/2022,1090,661,219,29,1,4,0.23211009174311928
313,01/08/2022,644,402,168,9,1,0,0.27639751552795033
314,01/09/2022,1340,722,83,26,3,2,0.08507462686567165
315,01/10/2022,704,248,252,10,0,0,0.3721590909090909
316,01/11/2022,590,333,119,5,3,1,0.21694915254237288
317,01/12/2022,642,292,90,17,0,1,0.16822429906542055
318,01/13/2022,413,212,168,2,0,0,0.4116222760290557
319,01/14/2022,303,145,98,2,0,1,0.3333333333333333
320,01/15/2022,369,101,99,2,0,0,0.27371273712737126
321,01/16/2022,304,101,83,2,0,0,0.27960526315789475
322,01/17/2022,192,72,48,2,0,0,0.2604166666666667
323,01/18/2022,173,44,8,1,0,0,0.05202312138728324
324,01/19/2022,163,39,50,3,0,0,0.32515337423312884
325,01/20/2022,436,43,60,0,0,0,0.13761467889908258
326,01/21/2022,162,32,59,0,0,0,0.36419753086419754
327,01/22/2022,1753,965,214,68,18,0,0.17113519680547631
328,01/23/2022,2296,1346,120,50,11,0,0.07883275261324042
329,01/24/2022,682,347,62,13,2,0,0.11290322580645161
330,01/25/2022,493,199,91,11,1,0,0.20892494929006086
331,01/26/2022,650,442,73,27,1,8,0.1676923076923077
332,01/27/2022,914,470,71,11,1,3,0.09409190371991247
333,01/28/2022,500,154,160,6,0,0,0.332
334,01/29/2022,933,365,26,12,0,0,0.04072883172561629
335,01/30/2022,160,109,7,7,4,1,0.11875
336,01/31/2022,232,117,19,2,0,0,0.09051724137931035
337,02/01/2022,485,274,31,4,0,0,0.07216494845360824
338,02/02/2022,514,272,44,1,0,0,0.08754863813229571
339,02/03/2022,323,110,9,1,1,0,0.034055727554179564
340,02/04/2022,302,94,168,2,1,0,0.5662251655629139
341,02/05/2022,900,478,417,16,0,0,0.4811111111111111
342,02/06/2022,768,405,499,6,0,1,0.6588541666666666
343,02/07/2022,407,140,148,4,1,0,0.3759213759213759
344,02/08/2022,615,101,223,5,0,0,0.37073170731707317
345,02/09/2022,279,62,61,4,0,0,0.23297491039426524
346,02/10/2022,376,81,125,4,0,0,0.34308510638297873
347,02/11/2022,267,60,146,5,0,0,0.5655430711610487
348,02/12/2022,255,63,178,0,0,0,0.6980392156862745
349,02/13/2022,205,43,70,2,0,0,0.35121951219512193
350,02/14/2022,326,50,139,0,0,0,0.4263803680981595
351,02/15/2022,99,45,50,2,0,0,0.5252525252525253
